"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"194","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","John Kelly Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Nyheim Miller-Hines (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"194","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Trayveon Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"194","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"194","Andrew Beck (NYJ)","0","0","0","0","0","0","0","2","0","0","0","0","2","0.0","0.0","0.0%"
"194","Khari Blasingame (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"194","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"194","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Dylan Laube (LV)","1","0","0.0","0","0","0","0","0","0","0","0","1","6","-2.0","-0.3","0.6%"
"259","Tyler Badie (DEN)","11","86","7.8","43","1","0","3","3","-2","-0.7","0","1","3","6.4","2.1","0.7%"
"260","George Holani (SEA)","3","10","3.3","8","0","0","1","1","-1","-1.0","0","0","3","0.9","0.3","0.1%"
"261","Mike Boone (MIA)","13","51","3.9","9","0","0","1","3","-2","-2.0","0","0","5","4.9","1.0","1.0%"
"262","Chris Collier (LV)","5","12","2.4","4","0","0","1","2","-4","-4.0","0","0","6","0.8","0.1","0.0%"
""
""
